L,R,F,M,C
90,0,210,580717,0.961639043
86,0,140,293678,1.25231444
87,0,135,283712,1.254675516
68,3,23,281336,1.090869565
60,0,152,309928,0.970657895
74,2,92,294585,0.967692483
97,0,101,287042,0.965346535
48,0,73,287230,0.962070222
34,0,56,321489,0.828478237
45,0,64,375074,0.708010153
40,0,43,262013,0.988658044
114,0,145,271438,0.95253487
89,2,29,321529,0.799126984
90,0,118,179514,1.398381742
50,0,50,270067,0.921984841
73,2,22,234721,1.026084586
45,0,101,172231,1.3865249
41,1,40,284160,0.837844243
97,0,64,169358,1.401596264
31,0,38,332896,0.70828541
69,0,106,167113,1.369404116
34,0,23,214590,1.061630924
109,0,94,305250,0.741803833
48,2,20,222380,1.004904443
50,0,44,281837,0.787308444
42,0,62,243674,0.902990019
87,0,213,187917,1.146354614
112,0,74,148685,1.433364428
100,0,101,159129,1.33816985
70,0,87,149254,1.424714581
97,0,53,144076,1.469224298
113,0,95,149053,1.414895104
109,0,131,220948,0.944884271
97,0,95,148227,1.398640194
89,0,47,285144,0.725685618
54,3,25,220389,0.937899941
111,1,24,189813,1.087220053
97,4,54,141012,1.462104927
83,0,166,229303,0.890172305
61,1,81,140819,1.429179443
96,0,98,137876,1.458541443
38,0,35,201141,0.998554546
88,0,95,140803,1.396985007
47,0,46,256766,0.764737193
113,1,54,160825,1.20853437
40,0,21,185493,1.029507529
20,0,110,187588,1.015978367
93,0,134,140356,1.356053179
111,0,107,135811,1.398992423
45,10,70,219282,0.863479447
71,0,189,235687,0.802633323
27,0,87,132283,1.425177007
89,0,29,211369,0.888869986
76,0,48,130135,1.408197795
82,0,68,135374,1.349375212
113,0,111,216560,0.828452854
77,0,69,131660,1.354943567
74,0,126,204371,0.867522349
112,0,55,153868,1.146000598
111,0,76,214921,0.819187329
110,0,68,127335,1.380410335
113,0,77,136121,1.288018381
46,0,84,186821,0.938031056
35,0,96,204612,0.848239546
46,0,30,164001,1.057257212
105,0,85,121097,1.426106262
77,2,32,182563,0.944650121
45,0,34,170121,1.013669976
41,0,197,275800,0.620507614
64,0,30,184194,0.928504294
19,2,18,209911,0.811871079
54,0,64,137636,1.236256939
27,0,149,219108,0.774487057
77,0,61,143186,1.183962818
42,1,36,209839,0.806177069
44,0,22,170406,0.992454374
12,0,23,169224,0.995539285
34,0,16,163191,1.019520072
41,0,102,140220,1.179368992
102,0,81,159255,1.034587737
21,0,30,208687,0.782406571
93,0,127,170611,0.956332827
67,0,56,116728,1.394863786
23,0,79,208797,0.777341772
110,0,97,155881,1.036667137
114,0,158,205159,0.784701427
96,0,64,115300,1.391299306
45,0,51,137500,1.165835855
82,4,29,157056,1.017859044
78,0,69,114077,1.387490292
70,0,88,122619,1.281481989
38,0,42,162453,0.966069448
87,0,129,109813,1.429138536
89,0,67,123464,1.265322199
48,1,12,146784,1.059166667
113,0,100,162250,0.952273652
103,0,69,118726,1.297050351
36,1,17,125349,1.226505277
114,0,12,146784,1.046666667
23,0,54,144562,1.053910364
